"scenario","region","subRegion","param","classLabel1","class1","classLabel2","class2","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",1593.42018
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",128.613158666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",232.766658666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",117.270868
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",1393.68056666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",435.491591333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",145.620845333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",174.166388
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",1134.45537333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",509.38998
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",83.9341653333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",206.919159333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",1087.40793333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",324.623911333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",66.2329726666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",156.055292066667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",1177.02350333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",329.035448133333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",40.0772768
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",3.53074333333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",297.603148186667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",216.713884346667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",136.288148333333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",17.000273972
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",13.7508066666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",314.439468735333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",367.71535262
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",164.674714013333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",11.9077273846667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",18.9926733333333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.098847111
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",292.689481296667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",34.870605
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",30.8390137
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",3.0748135
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",278.238436666667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",22.8958766666667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",9.2567024
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",9.54896873333333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",276.63416
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",20.3583435946
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",8.91050123333333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",14.254768
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",248.85641
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",15.9964439451667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",5.7806925
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",14.1671449333333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_coal","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",288.762789333333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_natural gas","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",17.3731257707333
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_refined liquids","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",4.04987795666667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","backup_electricity_CO2","ghg","CO2","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",0.164214966666667
"NoRusGas_ModelOptimal","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","sector","CO2_biomass","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",26.1672109673333
