"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",22.4340872395
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","Year",2030,"Vint_2030","GHG emissions - (MTCO2eq)",3.048844817684
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",1975.19925093333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",1149.66668447346
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",0.0312083496
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",5.931118
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",42.4971214141544
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",1990,"Vint_1990","GHG emissions - (MTCO2eq)",9.98021672
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",2092.06387133333
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",1119.0108137244
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",151.022042496
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",4.868166
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",46.6671086094192
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2005,"Vint_2005","GHG emissions - (MTCO2eq)",19.95431354
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",1901.94590666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",1060.1353740497
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",198.3798072
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",4.0240037
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",44.9007309817288
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2010,"Vint_2010","GHG emissions - (MTCO2eq)",21.38731381
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",1685.18397666667
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",861.952610489175
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorBuildingsGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",191.92952277
"Baseline_NDC","EU-15","EU-15","emissGHGBySectorPowerGWPAR5","Year",2015,"Vint_2015","GHG emissions - (MTCO2eq)",3.41878
