"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",43.0313354631
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",1.3044295287
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",6.3920430686
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","SF6","Year",2020,"Vint_2020","GHG emissions - (MTCO2eq)",0.8259733
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CH4","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",19.331135246136
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CH4","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",0.54955767244
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",59.3170094624737
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","CO2","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",190.61156582468
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","HFCs","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",30.66353778726
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorBuildingsGWPAR5","ghg","N2O","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",1.93207698257
"Baseline_NDC","EU-12","EU-12","emissGHGBySectorPowerGWPAR5","ghg","N2O","Year",2025,"Vint_2025","GHG emissions - (MTCO2eq)",1.66849669304
