"scenario","region","subRegion","sources","x","xLabel","vintage","units","aggregate","class2","class1","classPalette1","classPalette2","origScen","origQuery","origUnits","origX","value","origValue","classLabel1","classLabel2","param"
"Baseline_NDC","EU-12","EU-12","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,52.3344219346667,14.273024164,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,122.10217712,33.30059376,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,9.28033562001333,2.53100062364,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,5.07356648333333,1.38369995,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2025,"Year","Vint_2025","GHG emissions - (MTCO2eq)","sum","CO2","backup_electricity_CO2","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2025,1.82106466666667,0.496654,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","CO2_biomass","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,55.8426442273333,15.229812062,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","CO2_coal","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,185.63580464,50.62794672,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","CO2_natural gas","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,12.7210289211867,3.46937152396,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","CO2_refined liquids","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,3.53123853573333,0.9630650552,"sector","ghg","emissGHGBySectorPowerGWPAR5"
"Baseline_NDC","EU-12","EU-12","Sources",2030,"Year","Vint_2030","GHG emissions - (MTCO2eq)","sum","CO2","backup_electricity_CO2","pal_all","pal_all","Baseline_NDC","CO2 emissions by sector","MTC",2030,2.79143333333333,0.7613,"sector","ghg","emissGHGBySectorPowerGWPAR5"
